"createdAt","modifiedAt","ID","name","price","material","shortDesc","longDesc","quantity","category","isActive","thumbnailURL","thumbnail_alt","hoverImageURL","hoverImage_alt"
"2023-08-05T09:05:35.595Z","2023-08-05T09:05:35.595Z","ao-so-mi-nam-dai-tay-cafe-dris-khu-mui","Áo sơ mi nam dài tay Café-DriS khử mùi hiệu quả","469000","COTON","Chất liệu: 50% S.Café + 50% Recycled PET","<div class=""product-single__features""><div class=""product-features""><a href=""#features-listing"" class=""product-features__heading is-active"" rel-script=""features-toggle""> Đặc điểm nổi bật </a> <div id=""features-listing"" class=""product-features__listing"" style=""display: block""><div class=""product-features__item""> Chất liệu: 50% S.Café + 50% Recycled PET </div> <div class=""product-features__item""> Phù hợp với: đi làm, đi chơi </div> <div class=""product-features__item""> Kiểu dáng: Regular fit dáng suông </div> <div class=""product-features__item""> Người mẫu: 177 cm - 74 kg, mặc size XL </div> <div class=""product-features__item""> Tự hào sản xuất tại Việt Nam </div></div></div></div>","","vest","1","https://mcdn.coolmate.me/image/February2023/mceclip10_61.jpg","Tự hào sản xuất tại Việt Nam","https://media.coolmate.me/cdn-cgi/image/quality=80,format=auto/uploads/May2023/cf5.jpg","Người mẫu: 177 cm - 74 kg, mặc size XL"
"2023-08-05T09:09:17.421Z","2023-08-05T09:09:17.421Z","quan-jeans-dang-straight","Coolmate x Copper Denim | Quần Jeans dáng Straight","569000","JEAN","Dáng Straight: Dáng suông phóng thoáng, thoải mái, không thùng thình","<div class=""product-features""><a href=""#features-listing"" class=""product-features__heading is-active"" rel-script=""features-toggle""> Đặc điểm nổi bật </a> <div id=""features-listing"" class=""product-features__listing"" style=""display: block""><div class=""product-features__item""> Chất liệu: 100% Cotton / 12 Oz </div> <div class=""product-features__item""> Dáng Straight: Dáng suông phóng thoáng, thoải mái, không thùng thình </div> <div class=""product-features__item""> Vải Denim được wash trước khi may nên không rút và hạn chế ra màu sau khi giặt </div> <div class=""product-features__item""> Cảm giác khi chạm mịn màng </div> <div class=""product-features__item""> Người mẫu: 175 cm - 69 kg, mặc áo XL, quần size 32 </div> <div class=""product-features__item""> Tự hào sản xuất tại Việt Nam </div> <div class=""product-features__item""><span><b>Lưu ý:</b> Sản phẩm vẫn sẽ bạc màu sau một thời gian dài sử dụng theo tính chất tự nhiên</span></div></div></div>","","thoi-trang-nam","1","https://mcdn.coolmate.me/image/May2023/mceclip0_52.jpg","Vải Denim được wash trước khi may nên không rút và hạn chế ra màu sau khi giặt","https://mcdn.coolmate.me/image/May2023/mceclip0_18.jpg","Tự hào sản xuất tại Việt Nam"
